Runtime,Memory
1333,20376000
-1,-1
-1,-1
-1,-1
4,17380000
1,17464000
0,17252000
4,16960000
-1,-1
-1,-1
0,17244000
-1,-1
29,17796000
-1,-1
40,25152000
0,17548000
-1,-1
0,17176000
-1,-1
0,17120000
7,23236000
-1,-1
38,17408000
917,22020000
0,17200000
23,19052000
215,17592000
0,17408000
397,17776000
1085,84900000
0,17404000
24,17860000
3,17268000
49,17612000
0,17308000
0,17448000
85,31672000
0,17312000
19,17256000
75,18056000
-1,-1
0,17340000
3,17380000
81,26192000
-1,-1
45,28616000
-1,-1
0,17400000
-1,-1
-1,-1
0,17040000
3,17372000
4,17720000
-1,-1
155,17628000
267,17516000
-1,-1
0,17236000
71,21708000
40,20784000
3,17516000
-1,-1
-1,-1
35,27116000
0,17776000
9,17260000
-1,-1
0,17352000
107,18748000
17,21332000
0,17420000
-1,-1
-1,-1
339,18108000
-1,-1
1,17260000
-1,-1
85,17588000
-1,-1
0,17344000
-1,-1
1,17344000
7,17268000
-1,-1
0,17316000
70,22248000
12,43964000
0,17148000
-1,-1
100,18484000
-1,-1
-1,-1
8,17748000
0,17460000
0,17556000
38,17540000
7,17304000
7,18324000
35,17172000
0,17468000
2910,19604000
0,17452000
248,19308000
841,17904000
-1,-1
2,17316000
-1,-1
11,23832000
51,18228000
-1,-1
41,17136000
38,17476000
482,113596000
-1,-1
48,28284000
7,17348000
19,28248000
-1,-1
35,17232000
-1,-1
15,30852000
-1,-1
-1,-1
3094,17824000
0,17268000
43,18936000
3,17584000
293,17276000
0,17288000
-1,-1
1,17480000
0,17232000
-1,-1
-1,-1
-1,-1
-1,-1
39,17980000
0,17260000
-1,-1
-1,-1
0,17244000
16,18272000
0,17200000
3,17196000
37,27152000
0,17224000
-1,-1
3,17264000
0,17608000
-1,-1
0,17144000
-1,-1
0,18960000
-1,-1
-1,-1
13,18896000
70,17708000
3,17396000
-1,-1
4,17600000
-1,-1
0,17704000
-1,-1
15,20752000
-1,-1
495,30192000
23,18148000
0,17428000
0,17420000
20,17744000
-1,-1
1,17364000
-1,-1
-1,-1
0,17256000
-1,-1
-1,-1
1,17496000
28,18072000
0,17236000
53,21828000
-1,-1
0,17308000
27,17940000
283,26032000
7,17580000
3,17824000
0,17412000
-1,-1
14,17084000
195,21588000
-1,-1
-1,-1
61,21500000
3102,61212000
38,17396000
191,40496000
