Runtime,Memory
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
0,17292000
-1,-1
67,18004000
0,18304000
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
0,17132000
-1,-1
-1,-1
43,17152000
-1,-1
-1,-1
-1,-1
460,17684000
-1,-1
-1,-1
-1,-1
-1,-1
7,17884000
-1,-1
-1,-1
0,17392000
0,17312000
90,30696000
0,17472000
-1,-1
-1,-1
-1,-1
0,17240000
-1,-1
34,26292000
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
164,17652000
243,17228000
-1,-1
0,17560000
67,21984000
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
3,18640000
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
76,17624000
-1,-1
0,17324000
-1,-1
0,17628000
11,17416000
-1,-1
-1,-1
-1,-1
15,44032000
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
0,17412000
-1,-1
39,17268000
7,17372000
7,18176000
-1,-1
0,17236000
-1,-1
-1,-1
241,19208000
-1,-1
1102,143404000
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
487,113604000
-1,-1
67,28416000
7,17204000
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
43,18832000
4,17240000
-1,-1
0,17132000
-1,-1
-1,-1
-1,-1
447,136168000
-1,-1
-1,-1
-1,-1
-1,-1
1,17168000
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
0,17184000
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
0,17384000
-1,-1
-1,-1
-1,-1
0,17736000
-1,-1
-1,-1
3,17248000
-1,-1
19,18204000
3,17208000
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
-1,-1
15,17252000
-1,-1
-1,-1
20,18128000
0,17220000
-1,-1
0,17224000
0,17428000
-1,-1
-1,-1
3,17640000
-1,-1
-1,-1
-1,-1
194,21596000
-1,-1
47,17660000
-1,-1
75,21408000
3162,69324000
39,17184000
-1,-1
