Runtime,Memory
1315,21068000
5,17412000
-1,-1
-1,-1
-1,-1
2,17532000
0,17560000
-1,-1
0,17588000
-1,-1
0,17224000
-1,-1
77,17844000
0,18392000
39,25072000
-1,-1
-1,-1
0,17068000
-1,-1
0,17348000
7,23072000
87,25836000
29,17432000
883,22244000
-1,-1
15,18984000
447,17660000
395,17804000
1795,84824000
-1,-1
12,17840000
0,17548000
40,17488000
0,17188000
0,17132000
-1,-1
0,17460000
15,17132000
74,17764000
27,17188000
0,17320000
3,17376000
83,26256000
-1,-1
-1,-1
-1,-1
0,17096000
-1,-1
-1,-1
0,17376000
3,17540000
19,17212000
-1,-1
242,17360000
11,17400000
0,17200000
65,22032000
37,20752000
-1,-1
-1,-1
-1,-1
39,27036000
0,17840000
-1,-1
-1,-1
0,17440000
3,18740000
27,21416000
-1,-1
-1,-1
65,27264000
355,18152000
-1,-1
0,17528000
-1,-1
77,17908000
-1,-1
0,17396000
12,17336000
-1,-1
11,17156000
-1,-1
0,17464000
55,22292000
20,43704000
0,17288000
83,19408000
95,18428000
-1,-1
-1,-1
-1,-1
0,17320000
-1,-1
39,17340000
7,17340000
3,18176000
38,17280000
-1,-1
-1,-1
0,17076000
228,19144000
857,17748000
1104,143240000
-1,-1
0,17496000
-1,-1
-1,-1
41,18296000
-1,-1
30,17104000
39,17448000
-1,-1
-1,-1
-1,-1
7,17452000
1,28160000
-1,-1
41,17240000
-1,-1
9,30752000
-1,-1
115,25152000
-1,-1
-1,-1
51,18636000
3,17256000
290,17300000
0,17300000
-1,-1
1,17608000
0,17552000
-1,-1
-1,-1
-1,-1
39,18116000
1,17504000
87,27760000
-1,-1
0,17404000
15,18116000
0,17284000
0,17484000
36,27320000
0,17184000
-1,-1
0,17488000
0,17216000
-1,-1
0,17480000
10,29556000
3,18796000
-1,-1
-1,-1
13,18920000
69,18824000
1,17492000
-1,-1
0,17380000
-1,-1
-1,-1
-1,-1
26,20828000
1,17284000
489,30184000
19,18352000
0,17404000
0,17268000
19,17684000
-1,-1
1,17480000
-1,-1
-1,-1
3,17276000
28,17540000
-1,-1
0,17212000
8,18220000
4,17236000
83,21868000
0,17224000
0,17416000
17,18164000
-1,-1
7,17380000
8,17892000
0,17492000
-1,-1
13,17324000
212,21772000
-1,-1
-1,-1
-1,-1
69,21432000
3168,69356000
38,17324000
188,40288000
