Time,Step,Training loss,Validation loss,Full Validation loss
21:28:56,2208,0.3289,-,0.4072
21:28:44,2207,0.2653,-,-
21:28:42,2206,0.3946,-,-
21:28:40,2205,0.207,-,-
21:28:38,2204,0.2594,-,-
21:28:36,2203,0.3566,-,-
21:28:36,2202,0.4508,-,-
21:28:34,2201,0.2711,-,-
21:28:32,2200,0.4248,0.6043,-
21:28:30,2199,0.2168,-,-
21:28:28,2198,0.5363,-,-
21:28:28,2197,0.396,-,-
21:28:26,2196,0.1883,-,-
21:28:23,2195,0.301,-,-
21:28:21,2194,0.3586,-,-
21:28:19,2193,0.4123,-,-
21:28:19,2192,0.2162,-,-
21:28:17,2191,0.3684,-,-
21:28:15,2190,0.2186,-,-
21:28:13,2189,0.3959,-,-
21:28:13,2188,0.421,-,-
21:28:11,2187,0.2577,-,-
21:28:09,2186,0.2502,-,-
21:28:07,2185,0.4872,-,-
21:28:07,2184,0.5589,-,-
21:28:05,2183,0.1956,-,-
21:28:03,2182,0.1912,-,-
21:28:01,2181,0.2961,-,-
21:27:59,2180,0.6416,-,-
21:27:59,2179,0.2472,-,-
21:27:57,2178,0.1761,-,-
21:27:55,2177,0.1194,-,-
21:27:53,2176,0.3391,-,-
21:27:53,2175,0.2461,-,-
21:27:51,2174,0.5859,-,-
21:27:49,2173,0.2038,-,-
21:27:47,2172,0.381,-,-
21:27:47,2171,0.1895,-,-
21:27:45,2170,0.1808,-,-
21:27:43,2169,0.4643,-,-
21:27:41,2168,0.1806,-,-
21:27:39,2167,0.3983,-,-
21:27:39,2166,0.5369,-,-
21:27:37,2165,0.1878,-,-
21:27:35,2164,0.3983,-,-
21:27:33,2163,0.3401,-,-
21:27:33,2162,0.3617,-,-
21:27:31,2161,0.2419,-,-
21:27:29,2160,0.3229,-,-
21:27:27,2159,0.0915,-,-
21:27:25,2158,0.339,-,-
21:27:25,2157,0.3949,-,-
21:27:23,2156,0.2311,-,-
21:27:21,2155,0.5976,-,-
21:27:19,2154,0.5765,-,-
21:27:19,2153,0.2695,-,-
21:27:17,2152,0.2721,-,-
21:27:15,2151,0.6021,-,-
21:27:13,2150,0.3139,-,-
21:27:13,2149,0.3459,-,-
21:27:11,2148,0.3809,-,-
21:27:09,2147,0.2322,-,-
21:27:07,2146,0.4902,-,-
21:27:05,2145,0.1951,-,-
21:27:05,2144,0.4291,-,-
21:27:03,2143,0.2339,-,-
21:27:01,2142,0.4825,-,-
21:26:59,2141,0.1925,-,-
21:26:59,2140,0.1324,-,-
21:26:57,2139,0.4671,-,-
21:26:55,2138,0.3104,-,-
21:26:53,2137,0.2482,-,-
21:26:51,2136,0.1695,-,-
21:26:51,2135,0.2537,-,-
21:26:49,2134,0.5901,-,-
21:26:47,2133,0.3139,-,-
21:26:44,2132,0.3958,-,-
21:26:44,2131,0.3736,-,-
21:26:42,2130,0.2523,-,-
21:26:40,2129,0.1709,-,-
21:26:38,2128,0.4685,-,-
21:26:38,2127,0.2974,-,-
21:26:36,2126,0.3551,-,-
21:26:34,2125,0.7345,-,-
21:26:32,2124,0.2701,-,-
21:26:30,2123,0.2273,-,-
21:26:30,2122,0.3013,-,-
21:26:28,2121,0.5393,-,-
21:26:26,2120,0.4462,-,-
21:26:24,2119,0.367,-,-
21:26:24,2118,0.3125,-,-
21:26:22,2117,0.2704,-,-
21:26:20,2116,0.206,-,-
21:26:18,2115,0.3737,-,-
21:26:18,2114,0.3107,-,-
21:26:16,2113,0.2387,-,-
21:26:14,2112,0.2645,-,-
21:26:12,2111,0.1857,-,-
21:26:10,2110,0.467,-,-
21:26:10,2109,0.2835,-,-
21:26:08,2108,0.2458,-,-
21:26:06,2107,0.2736,-,-
21:26:04,2106,0.3666,-,-
21:26:04,2105,0.414,-,-
21:26:02,2104,0.4396,-,-
21:26:00,2103,0.3662,-,-
21:25:58,2102,0.3616,-,-
21:25:58,2101,0.5075,-,-
21:25:56,2100,0.3626,0.3035,-
21:25:54,2099,0.3078,-,-
21:25:52,2098,0.4741,-,-
21:25:50,2097,0.4088,-,-
21:25:48,2096,0.2716,-,-
21:25:48,2095,0.4085,-,-
21:25:46,2094,0.2157,-,-
21:25:44,2093,0.3917,-,-
21:25:42,2092,0.218,-,-
21:25:42,2091,0.4462,-,-
21:25:40,2090,0.2259,-,-
21:25:38,2089,0.2899,-,-
21:25:36,2088,0.252,-,-
21:25:36,2087,0.4107,-,-
21:25:34,2086,0.4807,-,-
21:25:32,2085,0.2839,-,-
21:25:30,2084,0.3324,-,-
21:25:28,2083,0.3361,-,-
21:25:28,2082,0.3097,-,-
21:25:26,2081,0.2575,-,-
21:25:24,2080,0.3866,-,-
21:25:22,2079,0.2783,-,-
21:25:22,2078,0.3647,-,-
21:25:20,2077,0.1753,-,-
21:25:18,2076,0.751,-,-
21:25:16,2075,0.2997,-,-
21:25:14,2074,0.3831,-,-
21:25:14,2073,0.2097,-,-
21:25:12,2072,0.315,-,-
21:25:10,2071,0.3453,-,-
21:25:08,2070,0.1814,-,-
21:25:08,2069,0.4821,-,-
21:25:06,2068,0.4236,-,-
21:25:04,2067,0.479,-,-
21:25:02,2066,0.2068,-,-
21:25:00,2065,0.3205,-,-
21:24:59,2064,0.2501,-,-
21:24:57,2063,0.2933,-,-
21:24:55,2062,0.5617,-,-
21:24:53,2061,0.2449,-,-
21:24:53,2060,0.4472,-,-
21:24:51,2059,0.2643,-,-
21:24:49,2058,0.3052,-,-
21:24:47,2057,0.2208,-,-
21:24:45,2056,0.3267,-,-
21:24:45,2055,0.1891,-,-
21:24:43,2054,0.2023,-,-
21:24:41,2053,0.419,-,-
21:24:39,2052,0.4245,-,-
21:24:39,2051,0.3335,-,-
21:24:37,2050,0.359,-,-
21:24:35,2049,0.4479,-,-
21:24:33,2048,0.3062,-,-
21:24:31,2047,0.3322,-,-
21:24:31,2046,0.1485,-,-
21:24:29,2045,0.6637,-,-
21:24:27,2044,0.3324,-,-
21:24:25,2043,0.3403,-,-
21:24:25,2042,0.2336,-,-
21:24:23,2041,0.4087,-,-
21:24:21,2040,0.3894,-,-
21:24:19,2039,0.4053,-,-
21:24:17,2038,0.2309,-,-
21:24:17,2037,0.331,-,-
21:24:15,2036,0.285,-,-
21:24:13,2035,0.3021,-,-
21:24:11,2034,0.3961,-,-
21:24:11,2033,0.2341,-,-
21:24:09,2032,0.3064,-,-
21:24:07,2031,0.3453,-,-
21:24:05,2030,0.4826,-,-
21:24:05,2029,0.2514,-,-
21:24:03,2028,0.2698,-,-
21:24:01,2027,0.1811,-,-
21:23:59,2026,0.2717,-,-
21:23:57,2025,0.3771,-,-
21:23:57,2024,0.3358,-,-
21:23:55,2023,0.2636,-,-
21:23:53,2022,0.466,-,-
21:23:51,2021,0.5574,-,-
21:23:51,2020,0.2581,-,-
21:23:49,2019,0.347,-,-
21:23:47,2018,0.1414,-,-
21:23:45,2017,0.3181,-,-
21:23:43,2016,0.1687,-,-
21:23:43,2015,0.2963,-,-
21:23:41,2014,0.2953,-,-
21:23:39,2013,0.3572,-,-
21:23:37,2012,0.4048,-,-
21:23:37,2011,0.1529,-,-
21:23:35,2010,0.2789,-,-
21:23:33,2009,0.5019,-,-
21:23:31,2008,0.512,-,-
21:23:29,2007,0.3145,-,-
21:23:29,2006,0.3072,-,-
21:23:27,2005,0.1852,-,-
21:23:25,2004,0.5121,-,-
21:23:23,2003,0.2219,-,-
21:23:23,2002,0.5505,-,-
21:23:21,2001,0.305,-,-
21:23:19,2000,0.1532,0.342,-
21:23:17,1999,0.2621,-,-
21:23:15,1998,0.2892,-,-
21:23:13,1997,0.5044,-,-
21:23:13,1996,0.2422,-,-
21:23:11,1995,0.3858,-,-
21:23:08,1994,0.4199,-,-
21:23:06,1993,0.5015,-,-
21:23:04,1992,0.2642,-,-
21:23:04,1991,0.2305,-,-
21:23:02,1990,0.4601,-,-
21:23:00,1989,0.3427,-,-
21:22:58,1988,0.1376,-,-
21:22:58,1987,0.4069,-,-
21:22:56,1986,0.3825,-,-
21:22:54,1985,0.4595,-,-
21:22:52,1984,0.4468,-,-
21:22:52,1983,0.5536,-,-
21:22:50,1982,0.4417,-,-
21:22:48,1981,0.3636,-,-
21:22:46,1980,0.2803,-,-
21:22:44,1979,0.2564,-,-
21:22:44,1978,0.4357,-,-
21:22:42,1977,0.1772,-,-
21:22:40,1976,0.333,-,-
21:22:38,1975,0.3698,-,-
21:22:38,1974,0.1424,-,-
21:22:36,1973,0.4884,-,-
21:22:34,1972,0.1966,-,-
21:22:32,1971,0.2525,-,-
21:22:30,1970,0.1458,-,-
21:22:30,1969,0.4195,-,-
21:22:28,1968,0.3638,-,-
21:22:26,1967,0.5233,-,-
21:22:24,1966,0.193,-,-
21:22:24,1965,0.1924,-,-
21:22:22,1964,0.2197,-,-
21:22:20,1963,0.5453,-,-
21:22:18,1962,0.1733,-,-
21:22:16,1961,0.5097,-,-
